source,target,source_name,target_name
488,1498,Brenda Patterson,Thad Judd
41,958,Mary Williams,Miguel Klein
207,1219,Donna Powell,Myra Mcdaniel
925,1090,Abraham Daniels,Lynne Rice
332,1250,Brenda Gonzalez,Toni Simon
449,603,Ralph Cook,Rodney Burke
1417,1552,Charissa Mcgowan,Katrice Strunk
102,379,Carl Ramirez,Sara Griffin
875,1269,Mary Martin,Tina Gross
143,151,Howard Young,Tammy Robinson
97,709,Kevin Morgan,Caroline Davis
665,1130,Juan Santos,Hattie May
624,1278,Kathy Potter,Tamara Perkins
978,1361,Robert Casey,Teresita Bruton
5,217,Catherine Foster,Kathy Reed
1238,1437,Lynn Elliott,Nakia Arreola
426,476,Wayne Walker,Lori Anderson
684,1000,Ronald Mason,Jasmine Chapman
85,1229,Heather Bell,Lynette Hall
97,300,Kevin Morgan,Nancy Morris
480,1121,Kathleen Roberts,Lisa Ramirez
1391,1536,Brittny Fanning,Obdulia Salter
884,945,Eva Chavez,Wendell Wilkins
600,1186,Eunice Becker,Angelica Blake
507,958,Kristin Rice,Miguel Klein
1201,1555,Minnie Hodges,Carol Lowery
216,257,Jessica Miller,Steven Coleman
373,878,Alan Green,Pam Guzman
91,900,Christopher Robinson,Glenn Martinez
225,751,Larry Allen,Jasmine Hogan
32,1488,Thomas Ramirez,Lizzette Sherwood
385,1377,Susan Ramirez,Delta Scholl
49,1428,Joan Long,Summer Lachance
70,1222,Martin Collins,Isabel Ramos
1289,1524,Lela Sutton,Sharda Zamora
385,968,Susan Ramirez,Duane Hamilton
129,374,Phillip White,Jack Bell
1435,1578,Geri Minor,Briana Willey
1001,1237,Sue Rodriquez,Bridget Mills
919,1433,Drew Poole,Vivien Olivo
307,1314,Harold Jones,Tomoko Kimble
44,1578,Marilyn Henderson,Briana Willey
91,527,Christopher Robinson,Kerry Copeland
374,1224,Jack Bell,Kari Willis
281,996,Peter Cox,Frankie Spencer
1260,1317,Joyce Malone,Warner Stephenson
265,414,Christina Gonzales,Carolyn Bennett
1272,1291,Leigh Benson,Melody Yates
179,756,Cynthia Miller,Bernard Mcbride
1113,1563,Christina Tate,America Alarcon
768,1120,Jennifer Watkins,Annette Hubbard
751,1476,Jasmine Hogan,Vernetta Swann
733,1162,Cecelia Gibson,Dorothy Guerrero
172,1354,Larry Bennett,Micah Fay
1093,1325,Holly Hunt,Natalya Espino
652,945,Kelli Turner,Wendell Wilkins
944,1233,Simon Jefferson,Marianne Hogan
579,695,Garrett Myers,Laverne Ingram
714,1414,Julie Rivera,Cleora Burch
1255,1503,Paulette Fox,Joetta Allred
619,1405,Nicolas Roy,Reita Easley
108,1455,Billy Green,Sierra Redman
621,957,Bessie Bell,Milton Steele
655,870,Jonathon Singleton,Lana Paul
105,812,Chris Rivera,Joanne Fitzgerald
586,999,Felipe Wong,Teresa Bass
945,1426,Wendell Wilkins,Kathern Greathouse
111,706,Phyllis Reed,Jermaine Barnett
178,387,Keith Simmons,Steven Williams
755,1302,Alfred Romero,Deandre Ferris
443,807,Julia Allen,Bessie Welch
172,981,Larry Bennett,Wilfred Sutton
5,953,Catherine Foster,Harold Cunningham
1075,1392,Ramona Fowler,Josef Cochran
809,864,Lynn Hines,Claire Hardy
136,1064,Jack Ward,Dawn Powell
107,1266,Terry Hernandez,Andrea Mccarthy
709,1600,Caroline Davis,Floy Hood
230,699,Mary Price,Guadalupe Santos
811,1202,Kerry Lambert,Rosalie Welch
220,1143,Kevin Lee,Thelma Daniel
798,891,Felicia Gray,Casey Reeves
460,1390,Walter Ross,Tova Florence
1105,1191,Ada Rios,Melba Long
1177,1296,Miranda Green,Kay Jefferson
809,900,Lynn Hines,Glenn Martinez
1182,1411,Roxanne Rowe,Harris Morrow
36,159,Jimmy Reed,Andrew Henderson
667,1045,Salvatore Munoz,Michelle Washington
37,649,Andrea Turner,Mae Francis
557,1322,Wallace Griffin,Genia Keaton
1268,1334,Brittany Silva,Deangelo Boykin
291,794,Lillian Rogers,Elsa Murray
1105,1456,Ada Rios,Bunny Barrera
421,1169,Katherine Hill,Sherri Ruiz
222,1597,Samuel Sanchez,Christal Means
319,1121,Clarence Jackson,Lisa Ramirez
469,800,Terry Bell,Tonya Carroll
452,1156,Linda Washington,Sally Adams
37,914,Andrea Turner,Marty Rivera
855,872,Henrietta Townsend,Ruth Christensen
457,1091,Rebecca Perez,Geraldine Colon
541,1499,Caleb Murphy,Joanie Barr
305,1488,Gerald Robinson,Lizzette Sherwood
31,1248,Wanda Davis,Miriam Dixon
782,1296,Shirley Lane,Kay Jefferson
1291,1439,Melody Yates,Carmel Knutson
991,1290,Al Bailey,Jeannette Jordan
742,1260,Lula Sherman,Joyce Malone
843,1163,Ida Patterson,Wanda Williams
364,899,Joe Alexander,Allan Sullivan
308,330,Marilyn Harris,Lori Lee
569,1417,Luke Sharp,Charissa Mcgowan
84,622,Henry Perry,Kenneth Adkins
234,1055,Jeffrey Rodriguez,Allison Patrick
201,878,Edward Harris,Pam Guzman
954,1524,Pete Perez,Sharda Zamora
215,547,Ralph Long,Tabitha Mendez
47,554,Brenda Price,Bradford Fuller
348,402,Joshua Perry,Brian Watson
950,1410,Fred Sandoval,Lanny Gallegos
53,1128,Joshua Peterson,Silvia Garner
1224,1241,Kari Willis,Leona Schneider
975,1174,Sammy Williamson,Lucy Walsh
443,1579,Julia Allen,Audra Avila
399,1127,Stephen Gonzales,Lee Moss
233,686,Donald Young,Joshua Alexander
24,692,Jerry Moore,Charlie Andrews
39,326,Robert Cooper,Raymond Martinez
1014,1022,Veronica Zimmerman,Naomi Mclaughlin
1017,1585,Sadie Mccarthy,Marlin Hardesty
494,986,Paula Foster,Adrian Phillips
130,301,Bobby Sanchez,Ruth Davis
163,1381,Lillian Hill,Aurea Parrott
735,1198,Mattie Watts,Shirley Olson
375,806,Joseph Bennett,Anne Nash
731,1573,Marion Palmer,Minh Graf
881,1252,Allison Jennings,Melinda Knight
1242,1523,Stacey Stephens,Judie Meacham
88,304,Michael Wright,Carlos Moore
394,639,Nicole Kelly,Helen Padilla
1072,1228,Angie Ross,Freda Hardy
696,1206,Herman Sanders,Sabrina Love
611,753,Joel Joseph,Hugo Torres
155,888,Eugene Turner,Jasmine Lyons
1317,1324,Warner Stephenson,Weston Belanger
977,996,Terence Ray,Frankie Spencer
14,125,Sean White,Nicole Perry
143,913,Howard Young,Cory Gross
805,1149,Paulette Bridges,Anita Bailey
1140,1368,Constance Parks,Wally Bankston
439,683,Lisa Ward,Gretchen Stone
1139,1403,Maria Frazier,Helena Grice
1359,1406,Tanisha Conklin,Mallory Schubert
236,583,Keith Williams,Winifred Armstrong
366,433,Ralph Rivera,Rose Powell
969,1257,Kerry Schneider,Ruby Williamson
1249,1540,Denise Armstrong,Zella Bratcher
239,737,Kenneth Ross,Bobbie Mcdonald
563,1472,Sandy Price,Elinor Hayden
906,1466,Wilbur Blair,Dania Metzler
1297,1467,Latarsha Daugherty,Christin Patino
184,1332,Kenneth Cox,Stevie Butts
383,638,Janice Anderson,Tommie Chapman
514,1207,Benny Diaz,Dawn Gutierrez
152,854,David James,Vera Sanchez
50,843,Lois Smith,Ida Patterson
1059,1415,Vivian Frank,Clarita Coates
190,966,Aaron Rogers,Domingo Wallace
811,1313,Kerry Lambert,Chase Kitchens
426,456,Wayne Walker,Dorothy Carter
822,1588,Carla Arnold,Idell Collado
499,1572,Ronald Gregory,Chung Bickford
654,1366,Carlos Jones,Madaline Weller
18,890,Emily Taylor,Sherry Marshall
420,1199,Nancy Morgan,Gladys Larson
958,1103,Miguel Klein,Rosie Newton
526,1446,Raymond Chapman,Lamont Eller
27,450,Louise Butler,Nicole Evans
347,806,Ruby Hernandez,Anne Nash
264,951,Roger Nelson,Clint Knight
5,1594,Catherine Foster,Carolynn Stacey
177,654,Judy Clark,Carlos Jones
272,663,Chris Cooper,Emmett Alvarez
971,1567,Guadalupe Tyler,Bobbye Crosby
636,1317,Gilbert Perkins,Warner Stephenson
211,387,Maria Sanders,Steven Williams
848,1353,Melba Yates,Jamila Abreu
1061,1497,Angela Armstrong,Britt Poirier
854,1247,Vera Sanchez,Jaime Howell
310,1183,Johnny Turner,Tasha Owens
119,798,Bruce Morris,Felicia Gray
1301,1478,Santo Heck,Hank Mahan
142,144,Richard Stewart,Mildred Allen
999,1256,Teresa Bass,Francis Walton
1374,1548,Shemeka Folse,Harrison Kohn
192,639,Ralph Wright,Helen Padilla
113,117,Kimberly Bailey,Amy Gray
952,1181,Greg Salazar,Ernestine Williamson
1185,1532,Debbie Jennings,Nidia Mccarter
643,1249,Norman Bryant,Denise Armstrong
531,1008,Percy Griffith,Charlene Jefferson
150,642,Helen Flores,Elsie Garza
28,1470,Maria Jenkins,Dacia Loyd
62,300,Jason Gray,Nancy Morris
155,1431,Eugene Turner,Arnita Herrick
1113,1363,Christina Tate,Gertude Kingsley
533,788,Gabriel Dennis,Erma Carpenter
903,1553,Steven Frazier,Virgilio Hite
776,1220,Jean Caldwell,Jessie Hart
399,1382,Stephen Gonzales,Summer Hudgens
23,1211,Lori Anderson,Leticia Garrett
1169,1380,Sherri Ruiz,Ola Sinclair
448,600,Keith James,Eunice Becker
820,1146,Carole Palmer,Kristi Mitchell
573,860,Esther Mcbride,Billie Blake
92,444,Andrew Washington,Martin Johnson
1234,1280,Maggie Lane,Maxine Berry
284,1023,Gloria Jones,Leigh Daniel
670,1058,Dean Cross,Gladys Nunez
911,1121,Seth Webb,Lisa Ramirez
353,795,Patrick White,Ollie Ball
520,970,Douglas Reyes,Roy Cross
973,1590,Enrique Olson,Demetrius Forbes
49,73,Joan Long,Joyce Green
202,315,Wanda Butler,Wanda Powell
248,282,Henry Baker,Matthew Roberts
105,877,Chris Rivera,Ellen Huff
606,930,Larry Phillips,Danny Bass
944,1563,Simon Jefferson,America Alarcon
40,253,Donna Cox,Craig Wood
30,697,Phyllis Hernandez,Whitney Simon
24,1477,Jerry Moore,Jerrell Mcmurray
525,676,Colleen Wilkerson,Meghan Ortega
1138,1577,Brandy Wade,Ji Leach
216,744,Jessica Miller,Abel Cole
78,1268,Brian Gonzalez,Brittany Silva
131,1194,Louise Williams,Toni Spencer
1028,1296,Beatrice Francis,Kay Jefferson
520,826,Douglas Reyes,Cora Gomez
1308,1579,Joya Freedman,Audra Avila
544,1183,Peter Bowers,Tasha Owens
421,1378,Katherine Hill,Monet Limon
462,1150,John Rogers,Maureen Curry
155,999,Eugene Turner,Teresa Bass
79,1269,Charles Hill,Tina Gross
804,1179,Yolanda Dean,Bonnie Parsons
331,401,Anna Howard,Shirley Bryant
20,1183,Steve Powell,Tasha Owens
22,469,David Scott,Terry Bell
740,1243,Donald Massey,Desiree Robbins
892,999,Rhonda Curry,Teresa Bass
759,884,Clayton Freeman,Eva Chavez
333,1121,Kathy Reed,Lisa Ramirez
670,806,Dean Cross,Anne Nash
359,1030,Gregory Lewis,Rachel Summers
1035,1313,Sara Shaw,Chase Kitchens
848,1078,Melba Yates,Pat Marshall
1207,1505,Dawn Gutierrez,Shawnee Sotelo
78,751,Brian Gonzalez,Jasmine Hogan
137,837,Teresa Patterson,Sherri Caldwell
173,1397,Steven Thomas,Edison Boothe
540,1599,Moses Simpson,Desmond Yanez
463,1236,Norma Clark,Alicia Barber
190,583,Aaron Rogers,Winifred Armstrong
206,936,Joe Simmons,Javier Hawkins
462,862,John Rogers,Jo Cunningham
158,896,Jose Cook,Karla Schmidt
121,569,Sarah Kelly,Luke Sharp
220,691,Kevin Lee,Cody Larson
543,707,Oscar Collier,Melanie Wells
613,1031,Ira Gordon,Kari Garza
406,1110,Jack Hughes,Erin Barnett
786,1102,Desiree Brock,Hazel Stewart
119,788,Bruce Morris,Erma Carpenter
348,1285,Joshua Perry,Carmen Owen
152,556,David James,Jacob Ramirez
219,1549,Wayne Watson,Vanesa Gatlin
508,1423,Saul Crawford,Asha Saucedo
1117,1467,Anne Jenkins,Christin Patino
420,1539,Nancy Morgan,Rubie Brackett
814,1466,Tasha Harmon,Dania Metzler
423,641,Emily Martin,Erick Flowers
90,352,Ruby Lopez,Samuel Thompson
681,1351,Randal Hudson,Piedad Southerland
229,1450,Andrea James,Zola Keel
1363,1528,Gertude Kingsley,Aleshia Barham
410,1345,Virginia Wood,Sha Coffey
545,1161,Alison Craig,Patsy Fowler
717,1124,Darin Mcguire,Kate Sharp
113,1095,Kimberly Bailey,Louise Mathis
370,671,Donald Nelson,Janet Tucker
211,1401,Maria Sanders,Mika Aranda
108,522,Billy Green,Brett Webster
228,587,Jose Walker,Dwayne Wolfe
145,1047,Shawn Harris,Margie Nguyen
1009,1152,Victoria Morales,Nichole Watson
816,986,Denise Montgomery,Adrian Phillips
339,912,Kimberly Hill,Jorge Peters
57,934,Cynthia Roberts,Lyle Yates
677,1582,Otis Waters,Cory Sumner
1106,1579,Jennie Gardner,Audra Avila
183,930,Nicholas Nelson,Danny Bass
43,541,Laura Mitchell,Caleb Murphy
814,1587,Tasha Harmon,Karole Grier
58,1573,Rachel Ward,Minh Graf
1125,1183,Margarita Delgado,Tasha Owens
1085,1147,Kendra Mccoy,Faye Norman
736,993,Calvin Copeland,Jared Pope
890,908,Sherry Marshall,Melvin Little
595,874,Brandy Harmon,Audrey Ortega
467,725,Laura Martinez,Ervin Mccormick
699,1111,Guadalupe Santos,Muriel Hicks
1254,1333,Delia Hayes,Scottie Hamel
28,763,Maria Jenkins,Lionel Vaughn
127,1559,Amanda Sanders,Kaylee Santana
103,1351,Andrea Jones,Piedad Southerland
529,785,Lucille Morales,Valerie Dawson
212,849,John Diaz,Leah Mcbride
447,1506,Diane Ramirez,Thanh Regan
193,341,John Diaz,Jeffrey Clark
278,794,Marie Taylor,Elsa Murray
313,1426,Joan Thomas,Kathern Greathouse
823,1268,Misty Hill,Brittany Silva
15,420,George Clark,Nancy Morgan
408,760,Billy Torres,Kenneth Tucker
118,692,Gary Edwards,Charlie Andrews
203,1145,Billy Collins,Raquel Ramos
179,1462,Cynthia Miller,Bonita Burleson
1226,1243,Megan Weber,Desiree Robbins
472,781,Tammy Jones,Ignacio Medina
457,881,Rebecca Perez,Allison Jennings
145,386,Shawn Harris,Diane Ward
170,559,Jason Adams,Sonja Reed
427,1267,Jeffrey Butler,Nadine Norman
438,1542,Shawn Baker,Maris Hayden
990,1152,Timmy Garner,Nichole Watson
214,894,Ernest Brooks,Kellie Willis
412,1404,Raymond Long,Rachell Broussard
508,883,Saul Crawford,Wilma Olson
698,1389,Sue French,Tracie Rivers
152,1593,David James,Ozella Mcbee
169,1008,Annie Cooper,Charlene Jefferson
403,946,Bobby Morris,Warren Bridges
151,1219,Tammy Robinson,Myra Mcdaniel
102,1363,Carl Ramirez,Gertude Kingsley
546,1260,Keith Dean,Joyce Malone
75,1117,Michelle Bryant,Anne Jenkins
209,1346,Benjamin Kelly,Hsiu Alcorn
589,1567,Claire Pearson,Bobbye Crosby
345,712,Gary Cooper,Cynthia Singleton
996,1051,Frankie Spencer,Kimberly Lowe
610,1132,Suzanne Byrd,Nadine Bryan
764,1190,Crystal Briggs,Melanie Elliott
1172,1393,Elaine Thompson,Rutha Blodgett
900,934,Glenn Martinez,Lyle Yates
143,726,Howard Young,Alejandro Perez
301,1200,Ruth Davis,Jennifer Butler
1498,1563,Thad Judd,America Alarcon
362,621,Virginia Patterson,Bessie Bell
271,1177,Richard Hernandez,Miranda Green
720,1003,Janice Carson,Janie Anderson
1067,1376,Alexis Vargas,Isaura Lemus
618,1221,Bethany Schmidt,Deanna Thompson
26,406,Sandra Sanchez,Jack Hughes
1314,1333,Tomoko Kimble,Scottie Hamel
573,804,Esther Mcbride,Yolanda Dean
285,666,William Bennett,Dominic Schultz
448,1218,Keith James,Diana Cruz
946,1086,Warren Bridges,Connie Grant
351,1551,Judy Stewart,Xochitl Runyon
76,263,Nancy King,Louise Hall
848,1045,Melba Yates,Michelle Washington
451,1229,Carlos Thompson,Lynette Hall
317,1000,Julia Richardson,Jasmine Chapman
99,283,Donald Griffin,Elizabeth Thomas
358,772,Alice Brown,Brandon Morton
217,504,Kathy Reed,Earnest Joseph
1244,1539,Mona Todd,Rubie Brackett
512,1504,Calvin Goodman,Audrea Belanger
1095,1559,Louise Mathis,Kaylee Santana
1047,1519,Margie Nguyen,Tamisha Nunes
525,885,Colleen Wilkerson,Shirley Porter
554,1586,Bradford Fuller,Natashia Glynn
857,1358,Traci Day,Truman Hindman
1071,1467,Sandra Moran,Christin Patino
483,659,Ernest Collins,Valerie Lopez
224,1073,Frances Lewis,Agnes Shelton
380,832,Howard Phillips,May Sparks
673,1048,Carroll Newman,Jaime Collier
61,112,Randy Harris,Steve Roberts
837,1565,Sherri Caldwell,Alane Bartels
887,1157,Stephanie Ball,Sheryl Guzman
23,1577,Lori Anderson,Ji Leach
251,767,Sharon Bryant,Bonnie Hubbard
920,925,Dave Lawrence,Abraham Daniels
236,638,Keith Williams,Tommie Chapman
335,909,Angela Wood,Sheldon Curry
1290,1398,Jeannette Jordan,Alex Madrid
496,863,Evelyn Jackson,Brandy Adams
223,439,Anna Garcia,Lisa Ward
231,1117,Martin Edwards,Anne Jenkins
335,1583,Angela Wood,Adell Lilly
136,291,Jack Ward,Lillian Rogers
474,1369,Jane Campbell,Troy Lu
262,812,Rebecca Howard,Joanne Fitzgerald
345,401,Gary Cooper,Shirley Bryant
506,1401,Mitchell Patton,Mika Aranda
634,1178,Penny Frank,Olivia Little
1096,1123,Alberta Wise,Jill Mann
1095,1307,Louise Mathis,Lanora Mott
889,1059,Willie Taylor,Vivian Frank
840,1283,Alexandra Richardson,Lorene Casey
954,1039,Pete Perez,Henrietta Brown
124,847,Michelle Brooks,Shelley Cortez
396,1306,Tina Martin,Shelba Hills
174,1342,Rebecca Jenkins,Rafaela Newell
350,781,Philip Torres,Ignacio Medina
296,810,Kelly Green,Mandy Lawrence
252,358,Jesse Anderson,Alice Brown
62,1546,Jason Gray,Coy Worthington
201,658,Edward Harris,Essie Bowers
537,1510,Caroline Holland,Karma Marcus
953,1488,Harold Cunningham,Lizzette Sherwood
730,1187,Shari Harper,Janie Hamilton
795,1396,Ollie Ball,Rema Tanner
1170,1422,Helen Figueroa,Amalia Redding
208,553,Mark Hughes,Molly Chavez
34,1569,Phillip Wood,Lashawnda Quick
566,935,Kristine Ross,James Miller
1019,1555,Ida Reed,Carol Lowery
1340,1461,Karri Wilhelm,Isabelle Roper
704,1134,Marty Chavez,Vicki Hansen
131,1501,Louise Williams,Hank Crist
594,1262,Aaron Hunter,Kristin Sanders
204,439,Johnny Wilson,Lisa Ward
4,1168,Edward Torres,Courtney Gomez
263,754,Louise Hall,Alonzo Garner
859,1044,Sandy Foster,Sharon Wilkerson
925,1367,Abraham Daniels,Moriah Edward
41,1055,Mary Williams,Allison Patrick
486,1585,Kathryn Brooks,Marlin Hardesty
836,1289,Daisy Cox,Lela Sutton
573,1324,Esther Mcbride,Weston Belanger
62,1523,Jason Gray,Judie Meacham
76,1192,Nancy King,Jasmine Burke
681,1272,Randal Hudson,Leigh Benson
283,359,Elizabeth Thomas,Gregory Lewis
723,860,Delia Townsend,Billie Blake
36,73,Jimmy Reed,Joyce Green
1208,1426,Judith Romero,Kathern Greathouse
7,1178,Beverly Parker,Olivia Little
240,1300,Ruth Alexander,Shona Fortner
957,1206,Milton Steele,Sabrina Love
662,1258,Johnathan Simpson,Marsha Campbell
96,1521,Joseph Bennett,Kerstin Hahn
107,627,Terry Hernandez,Darrell Schwartz
1489,1561,Ellie Lebron,Mia Fish
621,848,Bessie Bell,Melba Yates
940,1239,Shannon Wood,Rachael Riley
337,1089,Beverly Taylor,Faith Carter
431,867,Ashley Lopez,Valerie Mendoza
442,1371,Alan Cooper,Bud Menard
468,1280,Clarence Lewis,Maxine Berry
205,641,Irene Perry,Erick Flowers
108,1117,Billy Green,Anne Jenkins
703,917,Nancy Lloyd,Tommie Fields
652,692,Kelli Turner,Charlie Andrews
125,1026,Nicole Perry,Lucia Buchanan
383,1321,Janice Anderson,Meg Cable
1050,1110,Jana Harrington,Erin Barnett
1254,1434,Delia Hayes,Mandie Cecil
893,1163,Stacey Richards,Wanda Williams
600,681,Eunice Becker,Randal Hudson
352,430,Samuel Thompson,Marilyn Alexander
1306,1481,Shelba Hills,Lin Fontenot
418,790,Willie Hernandez,Albert Vega
604,651,Nicole Hill,Jane Gonzales
539,1196,Ellen Bowman,Norma Kelley
515,951,Christie Morris,Clint Knight
332,1095,Brenda Gonzalez,Louise Mathis
699,1297,Guadalupe Santos,Latarsha Daugherty
95,1039,Barbara Rogers,Henrietta Brown
653,772,Tara Drake,Brandon Morton
57,747,Cynthia Roberts,Vincent Francis
448,1306,Keith James,Shelba Hills
391,772,Helen Sanchez,Brandon Morton
1012,1119,Shelley Powers,Lana Mack
1151,1314,Monica Luna,Tomoko Kimble
1391,1561,Brittny Fanning,Mia Fish
36,315,Jimmy Reed,Wanda Powell
418,1320,Willie Hernandez,Britta Shannon
195,1391,Beverly Brown,Brittny Fanning
194,343,Fred Mitchell,Kevin Long
322,1203,Lisa Coleman,Jody Arnold
699,924,Guadalupe Santos,Erick Nguyen
273,407,Clarence Scott,Thomas Taylor
1466,1591,Dania Metzler,Lane Fusco
744,1075,Abel Cole,Ramona Fowler
366,1538,Ralph Rivera,Sachiko Holiday
349,1040,Jerry Morgan,Natalie Rodgers
736,1071,Calvin Copeland,Sandra Moran
376,765,Thomas Brooks,Lila Berry
64,642,Gerald Johnson,Elsie Garza
203,428,Billy Collins,Kevin Howard
137,1386,Teresa Patterson,Octavia Bowling
1151,1170,Monica Luna,Helen Figueroa
347,1116,Ruby Hernandez,Sheila Bradley
1350,1379,Hertha Mcgovern,Callie Mcreynolds
222,1344,Samuel Sanchez,Kirsten Hibbard
716,833,Rogelio Gibbs,Theresa Morris
1521,1526,Kerstin Hahn,Denis Lindley
787,893,Russell James,Stacey Richards
12,1391,Judy Morris,Brittny Fanning
421,1181,Katherine Hill,Ernestine Williamson
213,1152,Albert Smith,Nichole Watson
600,1561,Eunice Becker,Mia Fish
772,850,Brandon Morton,Jaime Smith
1097,1464,Alma Hernandez,Margene Conyers
189,1432,Katherine Moore,Eldridge Ryder
299,1075,Sandra James,Ramona Fowler
1343,1376,Tilda Harter,Isaura Lemus
503,725,Cesar Hardy,Ervin Mccormick
742,1007,Lula Sherman,Kristin Berry
427,586,Jeffrey Butler,Felipe Wong
478,897,Andrew Garcia,Byron Young
574,605,Leo Leonard,Marion Baker
673,727,Carroll Newman,Joyce Wilkins
1184,1468,Connie Gibson,Mariela Bernal
101,681,Jeffrey Wood,Randal Hudson
241,841,Sarah Russell,Gayle Frazier
227,906,Fred Hill,Wilbur Blair
694,1195,Bobbie Wilkins,Doreen Carroll
61,465,Randy Harris,Kathy Diaz
1248,1489,Miriam Dixon,Ellie Lebron
102,237,Carl Ramirez,Charles Martinez
633,1185,Velma Simon,Debbie Jennings
111,731,Phyllis Reed,Marion Palmer
1134,1238,Vicki Hansen,Lynn Elliott
902,1081,Jose Peterson,Jennie Terry
80,1152,Gregory Ross,Nichole Watson
356,1056,Diana Roberts,Melba Gonzales
196,546,Laura Russell,Keith Dean
671,839,Janet Tucker,Elizabeth Walters
356,647,Diana Roberts,Lynette Terry
441,642,Andrea Russell,Elsie Garza
1228,1516,Freda Hardy,Consuelo Cordova
1238,1560,Lynn Elliott,Oneida Arias
827,943,Amanda Howell,Patrick Parker
196,811,Laura Russell,Kerry Lambert
1359,1441,Tanisha Conklin,Adena Mobley
534,1364,Archie Jensen,Tyisha Maness
542,810,Clifton Boone,Mandy Lawrence
815,1197,Elisa Lynch,Lindsay Lyons
1109,1186,Erika Taylor,Angelica Blake
738,1359,Guy Nunez,Tanisha Conklin
747,1099,Vincent Francis,Karla Wong
737,1543,Bobbie Mcdonald,Fidel Jolly
138,726,Louis Evans,Alejandro Perez
605,1244,Marion Baker,Mona Todd
725,1160,Ervin Mccormick,Natalie Gonzalez
352,1552,Samuel Thompson,Katrice Strunk
806,1005,Anne Nash,Darla Huff
13,57,Kathleen Coleman,Cynthia Roberts
235,887,Ashley Mitchell,Stephanie Ball
112,179,Steve Roberts,Cynthia Miller
464,1241,Sandra Thomas,Leona Schneider
21,1080,Ronald Carter,Maxine Cross
906,1357,Wilbur Blair,Marlyn Blount
340,1434,Peter Sanders,Mandie Cecil
843,1417,Ida Patterson,Charissa Mcgowan
1097,1562,Alma Hernandez,Reta Hawley
258,1172,Jacqueline Johnson,Elaine Thompson
805,1570,Paulette Bridges,Andre Wilbanks
943,1095,Patrick Parker,Louise Mathis
285,1009,William Bennett,Victoria Morales
177,918,Judy Clark,Stanley Porter
282,1349,Matthew Roberts,Octavio Mclendon
1461,1466,Isabelle Roper,Dania Metzler
411,1005,Margaret Griffin,Darla Huff
77,571,Elizabeth Baker,Lauren Fleming
44,919,Marilyn Henderson,Drew Poole
1047,1597,Margie Nguyen,Christal Means
1249,1323,Denise Armstrong,Renae Darling
1287,1578,Ethel Long,Briana Willey
6,547,Linda Martinez,Tabitha Mendez
145,742,Shawn Harris,Lula Sherman
892,1394,Rhonda Curry,Alyce Nagle
236,860,Keith Williams,Billie Blake
455,1313,David Richardson,Chase Kitchens
338,1402,Irene Scott,Denice Bernard
